#,City_name,Source url,Hotel Name,Location ,City,State,Zip,Phone,Rate,% of guests recommend,Stars out of 5,Count of reviews,Count of reviews__1,Number of starts out of 5,% of guests recommend__1,Room cleanliness,Service & Staff,Room comfort,Hotel condition
11,Atlanta,https://www.expedia.co.uk/Atlanta-Hotels-Georgia-Tech-Hotel-And-Conference-Center.h970901.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=127.5&exp_ts=1519289107767&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Georgia Tech Hotel and Conference Center,Spring St Nw,Atlanta,GA,NA,020 3564 5165,3.5,94%,4.5,"1,541",1541,4.5,94%,4.683354,4.4830966,4.5897264,4.6236153
12,Atlanta,https://www.expedia.co.uk/Atlanta-Hotels-Ramada-Plaza-Atlanta-Downtown-Capitol-Park.h50551.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=70.83&exp_ts=1519289107769&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Ramada Plaza Atlanta Downtown Capitol Park,Capitol Ave SE,Atlanta,GA,NA,020 3564 5165,3.0,55%,3.2,"2,566",2566,3.2,55%,3.391898,3.4503303,3.430074,3.060644
13,Atlanta,https://www.expedia.co.uk/Atlanta-Hotels-Hyatt-Regency-Atlanta-Downtown.h24736.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=128.82&exp_ts=1519289107770&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Hyatt Regency Atlanta Downtown,Peachtree St NE,Atlanta,GA,NA,020 3564 5165,4.0,84%,4.3,"3,641",3641,4.3,84%,4.4632397,4.4043884,4.2984357,4.395401
14,Atlanta,https://www.expedia.co.uk/Cobb-Galleria-Hotels-Country-Inn-Suites-By-Radisson.h12060.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=83.77&exp_ts=1519289107770&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,"Country Inn & Suites by Radisson, Atlanta Galleria/Ballpark, GA",Circle 75 Parkway,Atlanta,GA,NA,020 3564 5165,3.0,96%,4.5,"2,603",2603,4.5,96%,4.596697,4.6366067,4.498466,4.4649525
15,Atlanta,https://www.expedia.co.uk/Perimeter-Center-Hotels-Hawthorn-Suites-By-Wyndham-Atlanta-Perimeter-Center.h7147.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=77.01&exp_ts=1519289107770&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Hawthorn Suites by Wyndham Atlanta Perimeter Center,Barfield Rd NE,Atlanta,GA,NA,020 3564 5165,2.5,80%,4.2,"1,001",1001,4.2,80%,4.1766467,4.2554913,4.3752484,4.1528487
16,Atlanta,https://www.expedia.co.uk/Atlanta-Hotels-Grand-Hyatt-Atlanta-In-Buckhead.h3219.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=137.23&exp_ts=1519289107771&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Grand Hyatt Atlanta in Buckhead,Peachtree Road NE,Atlanta,GA,NA,020 3564 5165,4.0,91%,4.5,"1,602",1602,4.5,91%,4.6092377,4.57865,4.4750323,4.555406
17,Atlanta,https://www.expedia.co.uk/Atlanta-Hotels-Crowne-Plaza-Atlanta-Midtown.h16779.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=154.01&exp_ts=1519289107771&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Crowne Plaza Atlanta - Midtown,W Peachtree St Nw,Atlanta,GA,NA,020 3564 5165,3.5,72%,3.9,265,265,3.9,72%,4.0113196,4.0113187,3.9660373,3.9773571
18,Atlanta,https://www.expedia.co.uk/Atlanta-Hotels-Red-Roof-PLUS-Atlanta-Buckhead.h1533.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=65.09&exp_ts=1519289107771&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Red Roof PLUS+ Atlanta - Buckhead,"North Druid Hills Road NE I-85 At North Druid Hills Road, Exit #89",Atlanta,GA,NA,020 3564 5165,2.5,64%,3.3,"1,544",1544,3.3,64%,3.4154248,3.6231368,3.4325988,3.2633176
19,Atlanta,https://www.expedia.co.uk/Perimeter-Center-Hotels-Extended-Stay-America-Atlanta-Perimeter-Crestline.h530814.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=55.56&exp_ts=1519289107772&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Extended Stay America - Atlanta - Perimeter - Crestline,Crestline Pkwy Ne,Atlanta,GA,NA,020 3564 5165,2.5,70%,3.5,349,349,3.5,70%,3.5914285,3.6771429,3.5742857,3.47546
20,Atlanta,https://www.expedia.co.uk/Duluth-Norcross-Hotels-Sonesta-Gwinnett-Place-Atlanta.h409.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=92.14&exp_ts=1519289107772&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Sonesta Gwinnett Place Atlanta,Pleasant Hill Rd,Duluth,GA,NA,020 3564 5165,3.5,88%,4.4,"1,188",1188,4.4,88%,4.5142593,4.409396,4.413589,4.402984
21,Atlanta,https://www.expedia.co.uk/Cobb-Galleria-Hotels-Extended-Stay-America-Atlanta-Marietta-Powers-Ferry-Rd.h531722.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=50&exp_ts=1519289107772&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Extended Stay America - Atlanta - Marietta - Powers Ferry Rd,Powers Ferry Rd,Marietta,GA,NA,020 3564 5165,2.5,53%,3.1,503,503,3.1,53%,3.1984127,3.4583333,3.2539682,3.0746884
22,Atlanta,https://www.expedia.co.uk/Atlanta-Hotels-The-Georgian-Terrace-Hotel.h41634.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=141.36&exp_ts=1519289107773&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,The Georgian Terrace Hotel,Peachtree St NE,Atlanta,GA,NA,020 3564 5165,3.5,87%,4.2,"2,543",2543,4.2,87%,4.3611875,4.3218617,4.258457,4.127684
23,Atlanta,https://www.expedia.co.uk/Atlanta-Hotels-Hyatt-House-Atlanta-Downtown.h9247595.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=120.41&exp_ts=1519289107773&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Hyatt House Atlanta Downtown,Marietta Street NW,Atlanta,GA,NA,020 3564 5165,3.5,90%,4.5,908,908,4.5,90%,4.566079,4.5242295,4.623347,4.612154
24,Atlanta,https://www.expedia.co.uk/Atlanta-Hotels-HomeComfortStayCom.h21468185.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=206.34&exp_ts=1519289107773&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,HomeComfortStay.Com,Peachtree St NE,Atlanta,GA,NA,020 3564 5165,4.0,NA,5.0,2,2,5.0,NA,5.0,5.0,5.0,3.0
25,Atlanta,https://www.expedia.co.uk/Hartsfield-Jackson-Atlanta-International-Airport-Hotels-Hilton-Atlanta-Airport.h24463.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=179.32&exp_ts=1519289107774&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Hilton Atlanta Airport,Virginia Ave,Atlanta,GA,NA,020 3564 5165,4.0,82%,4.1,"1,912",1912,4.1,82%,4.2892256,4.1830573,4.325481,4.1485763
26,Atlanta,https://www.expedia.co.uk/Atlanta-Hotels-The-Highland-Inn.h894271.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=61.67&exp_ts=1519289107774&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,The Highland Inn,North Highland Avenue,Atlanta,GA,NA,020 3564 5165,2.5,81%,3.8,"1,884",1884,3.8,81%,4.058263,4.075741,3.7102754,3.430409
27,Atlanta,https://www.expedia.co.uk/Atlanta-Hotels-Hyatt-Atlanta-Midtown.h20315.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=128.82&exp_ts=1519289107774&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Hyatt Atlanta Midtown,10th Street NE,Atlanta,GA,NA,020 3564 5165,4.0,87%,4.3,"1,088",1088,4.3,87%,4.494034,4.3792467,4.443526,4.487301
28,Atlanta,https://www.expedia.co.uk/Cobb-Galleria-Hotels-Hyatt-Place-Atlanta-Galleria.h553409.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=84.72&exp_ts=1519289107774&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Hyatt Place Atlanta Galleria,Spring Hill Parkway,Smyrna,GA,NA,020 3564 5165,3.0,92%,4.4,"1,536",1536,4.4,92%,4.507813,4.5149693,4.405598,4.348853
29,Atlanta,https://www.expedia.co.uk/Atlanta-Hotels-Hotel-Indigo-Atlanta-Downtown.h11062233.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=137.21&exp_ts=1519289107775&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Hotel Indigo Atlanta Downtown,Peachtree St NE,Atlanta,GA,NA,020 3564 5165,4.0,92%,4.5,464,464,4.5,92%,4.72766,4.4680853,4.676595,4.6425524
30,Atlanta,https://www.expedia.co.uk/Perimeter-Center-Hotels-Extended-Stay-America-Atlanta-Perimeter-Hammond-Drive.h82250.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=55.56&exp_ts=1519289107775&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Extended Stay America - Atlanta - Perimeter - Hammond Drive,Hammond Drive NE,Atlanta,GA,NA,020 3564 5165,2.5,64%,3.4,449,449,3.4,64%,3.3769403,3.5654101,3.3968961,3.1903615
31,Atlanta,https://www.expedia.co.uk/Hartsfield-Jackson-Atlanta-International-Airport-Hotels-Howard-Johnson-Atlanta-Airport.h22408.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=57.8&exp_ts=1519289107776&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Howard Johnson Atlanta Airport,Phoenix Blvd,College Park,GA,NA,020 3564 5165,3.0,52%,3.1,"1,047",1047,3.1,52%,3.3020833,3.5061553,3.282938,2.9033494
32,Atlanta,https://www.expedia.co.uk/Atlanta-Hotels-W-Atlanta-Midtown.h9624.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=145.62&exp_ts=1519289107776&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,W Atlanta Midtown,14th Street NE,Atlanta,GA,NA,020 3564 5165,4.0,72%,3.9,"1,511",1511,3.9,72%,4.1358495,4.134857,4.106694,3.9170153
33,Atlanta,https://www.expedia.co.uk/Cobb-Galleria-Hotels-Hyatt-Regency-Suites-Atlanta-Northwest.h25557.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=132.79&exp_ts=1519289107776&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Hyatt Regency Suites Atlanta Northwest,Windy Hill Road,Marietta,GA,NA,020 3564 5165,3.5,89%,4.4,"1,192",1192,4.4,89%,4.58005,4.398997,4.578373,4.4253764
34,Atlanta,https://www.expedia.co.uk/Hartsfield-Jackson-Atlanta-International-Airport-Hotels-Solis-Two-Porsche-Drive.h19233892.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=176.02&exp_ts=1519289107777&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Solís Two Porsche Drive,Porsche Drive,Hapeville,GA,NA,020 3564 5165,NA,92%,4.6,41,41,4.6,92%,4.9268293,4.634146,4.780488,4.731707
35,Atlanta,https://www.expedia.co.uk/Atlanta-Hotels-Atlanta-Marriott-Marquis.h21498.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=144.79&exp_ts=1519289107777&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Atlanta Marriott Marquis,Peachtree Center Ave Ne,Atlanta,GA,NA,020 3564 5165,4.0,85%,4.2,"2,845",2845,4.2,85%,4.4253087,4.33392,4.362391,4.330349
36,Atlanta,https://www.expedia.co.uk/Duluth-Norcross-Hotels-Hyatt-Place-Norcross.h40399.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=75.88&exp_ts=1519289107778&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Hyatt Place Norcross,Peachtree Parkway,Peachtree Corners,GA,NA,020 3564 5165,3.0,90%,4.3,"1,467",1467,4.3,90%,4.488752,4.3994527,4.50375,4.3474164
37,Atlanta,https://www.expedia.co.uk/Atlanta-Hotels-Extended-Stay-America-Atlanta-Buckhead.h55455.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=66.83&exp_ts=1519289107778&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Extended Stay America - Atlanta - Buckhead,Peachtree Road,Atlanta,GA,NA,020 3564 5165,2.5,60%,3.2,300,300,3.2,60%,3.2633333,3.49,3.2833333,3.1617646
38,Atlanta,https://www.expedia.co.uk/Duluth-Norcross-Hotels-Atlanta-Marriott-Peachtree-Corners.h4417.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=100.26&exp_ts=1519289107778&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Atlanta Marriott Peachtree Corners,Technology Parkway,Peachtree Corners,GA,NA,020 3564 5165,3.5,84%,4.0,924,924,4.0,84%,4.222944,4.1028166,4.082253,3.9325085
39,Atlanta,https://www.expedia.co.uk/Atlanta-Hotels-Embassy-Suites-Atlanta-At-Centennial-Olympic-Park.h201246.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=170.83&exp_ts=1519289107779&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Embassy Suites Atlanta at Centennial Olympic Park,Marietta Street NW,Atlanta,GA,NA,020 3564 5165,3.5,85%,4.2,"1,322",1322,4.2,85%,4.2198796,4.3042145,4.2078295,4.1409645
40,Atlanta,https://www.expedia.co.uk/Cobb-Galleria-Hotels-Extended-Stay-America-Atlanta-Vinings.h82313.Hotel-Information?chkin=22/2/2018&chkout=23/2/2018&rm1=a2&regionId=178232&hwrqCacheKey=ff1398d3-5bce-44a3-a946-6c61620e42dfHWRQ1519289108594&vip=false&c=ff8b02a1-53bd-4ef7-9777-890a9d516fbd&&exp_dp=53.69&exp_ts=1519289107780&exp_curr=GBP&swpToggleOn=false&exp_pg=HSR,Extended Stay America - Atlanta - Vinings,Cumberland Pkwy,Atlanta,GA,NA,020 3564 5165,2.5,49%,3.3,165,165,3.3,49%,3.3090909,3.7272727,3.4121213,3.0555553
